line_index,full_address,lat,lon
134,"CNR FIFTH & NINTH AVENUE, CAMPSIE, NSW 2194, Australia",-33.9087332,151.1010235
135,"Cnr Fifth And Nineth Avenues, CAMPSIE, NSW 2194, Australia",-33.9096797,151.0969672
136,"11 SYDNEY ROAD, MUDGEE, NSW 2850, Australia",-32.6075074,149.6002717
137,"55-67 ARMSTRONG STREET, WESTDALE, NSW 2340, Australia",-31.0750492,150.853233
138,"92 HOSKINS STREET, TEMORA, NSW 2666, Australia",-34.4424781,147.5314978
139,"86 WEE WAA STREET, BOGGABRI, NSW 2382, Australia",-30.7037554,150.0424252
140,"118-120 MELROSE DR, PHILLIP, ACT 2606, Australia",-35.3569368,149.0909414
141,"141 BETTINGTON STREET, MERRIWA, NSW 2329, Australia",-32.1395292,150.35461
142,"23 CAWARRA ROAD, CARINGBAH, NSW 2229, Australia",-34.0273818,151.1260655
143,"2165 RANKINS SPRINGS RD, MYALL PARK, NSW 2681, Australia",-34.1108884,146.0979807
144,"1344 PRINCESS HIGHWAY, HEATHCOTE, NSW 2233, Australia",-34.0883227,151.0072035
145,"486 ARMIDALE ROAD, NEMINGHA, NSW 2340, Australia",-31.1227206,150.9862914
146,"21 KING ROAD, HORNSBY, NSW 2077, Australia",-33.6982155,151.110077
147,"41 BOMBALA STREET, COOMA, NSW 2630, Australia",-36.2362743,149.1278515
148,"100 BRIDGE STREET, MORISSET, NSW 2264, Australia",-33.1072122,151.48993
149,"23 DALGARNO STREET, COONABARABRAN, NSW 2357, Australia",-31.2740189,149.2743311
150,"UNIT 1, 10-12 LUXFORD ROAD, MOUNT DRUITT NSW, 2770",-33.7648036,150.8248115
151,"30 ST GEORGE STREET, MUNGINDI, NSW 2406, Australia",-28.9782124,148.9980505
152,"1 RIVERSIDE DRIVE, NAMBUCCA, NSW 2448, Australia",-30.6493139,152.997759
153,"6 Murphy Place, NAROOMA, NSW 2546, Australia",-36.2310579,150.1300383
154,"11 EAST STREET, NARRANDERA, NSW 2700, Australia",-34.7418836,146.5543347
155,"1 MOONAGEE ST, NYNGAN, NSW 2825, Australia",-31.55709719999999,147.1892759
156,"3/411 Manns Road, WEST GOSFORD, NSW 2250, Australia",-33.4249403,151.3185605
157,"SHOP 7/28 ARTHUR KAINE DRIVE, PAMBULA, NSW 2549, Australia",-36.9294166,149.8811882
158,"3 GENEVA STREET, KYOGLE, NSW 2474, Australia",-28.6199813,153.0019921
159,"Todman Avenue, WARWICK FARM, NSW 2170, Australia",-33.9107681,150.9374108
160,"16 MCLOUGHLIN ST, SCONE, NSW 2337, Australia",-32.0407224,150.8693235
161,"182 ARGYLE STREET, PICTON, NSW 2571, Australia",-34.171489,150.6104444
162,"30 UNION STREET, SOUTH LISMORE, NSW 2480, Australia",-28.8067737,153.2738632
163,"93 MORNA POINT ROAD, ANNA BAY, NSW 2316, Australia",-32.7781106,152.0856211
164,"18-20 BENI STREET, DUBBO, NSW 2830, Australia",-32.2482966,148.5946501
165,"144-150 PRINCESS HWY, DAPTO, NSW 2530, Australia",-34.4958037,150.7923532
166,"25 LOUEE STREET, RYLSTONE, NSW 2849, Australia",-32.7954959,149.9711167
167,"115 ST GEORGE STREET, MUNGINDI, NSW 2406, Australia",-28.9766259,148.9907839
168,"30 Whittaker Street, QUIRINDI, NSW 2343, Australia",-31.5129898,150.6771055
